cancer.lung.sa2,y.lung.male,sd.lung.male,y.lung.female,sd.lung.female,y.lung.persons,sd.lung.persons
11126,0.2039,-0.09942705350790243,-0.3106,0.18687212641779696,-0.0291,-0.005186438048047177
11127,0.0633,0.05392268071535355,-0.2382,0.2139183155950514,-0.1058,0.12453522873743876
11128,-0.1983,0.38284046948671857,-0.0037,0.2660188023219032,-0.0973,0.27694555386466874
11129,0.0618,0.08346391894996211,-0.0957,0.16675277446422634,-0.0017,0.10122036510430286
11130,0.7675,-0.16604409040644144,0.3469,0.062283049811677794,0.6706,-0.15526805749055408
11131,0.2299,0.1385544290209624,0.3923,0.057790089603903694,0.3409,0.057790089603903694
11132,0.0689,0.18322623296210427,0.4015,-0.007866334471856112,0.31,0.022185447424859586
11133,0.4229,-0.032421875,0.0719,0.13220393071535352,0.3236,-0.008625619152571429
11134,0.2094,-0.016516244152571427,0.1532,0.016383353777215136,0.219,-0.04808619597903757
11135,-0.0375,0.13869498296210428,-0.0121,0.11095538260514348,-0.0276,0.12009291367013666
11136,0.0793,0.2712203651043028,0.256,0.17027369988554802,0.2134,0.17027369988554802
11137,0.178,0.22567227785767677,0.4415,0.0760330498116778,0.357,0.09050105587983213
11138,-0.6096,0.7678514749042693,-0.0875,0.4671906773219032,-0.4446,0.6227599547518531
11139,-0.3492,0.6260412047518531,0.1119,0.3500417087068577,-0.144,0.4704719273219032
11140,-0.4859,0.6115056058138063,-0.0296,0.36026839946422634,-0.3867,0.5345992989284527
11141,-0.0326,0.38542464946422633,0.3437,0.1729764342426312,0.1543,0.2511666362402739
11142,0.0522,0.36347729587799865,0.513,0.09924848251940731,0.2804,0.2006638040209624
11143,0.4284,0.15878123802793526,0.7006,-0.0056333905000262655,0.5944,0.023412705782594086
11144,0.0689,0.003542043949962114,-0.4296,0.29866900141779695,-0.1967,0.13725161910295383
11145,0.1608,-0.053373743016366396,-0.0537,0.08567559698000586,0.1009,-0.04483540666309274
11146,-0.0554,-0.01943669428464646,-0.0923,0.010047936951952814,-0.0898,-0.02902270412200132
11147,-0.2973,0.25288054892845274,-0.2455,0.20551756313436298,-0.3517,0.25288054892845274
11148,-0.419,0.22806810581380635,-0.1412,0.05914380232190319,-0.3524,0.1511617989284527
11149,0.3149,-0.08465519412016786,-0.1295,0.18260691070450022,0.1434,-0.008000619152571426
11150,0.1129,-0.07083295605003788,-0.1504,0.08399276940601581,-0.0135,-0.02566141629314234
11151,-0.2848,0.3011058155950514,-0.0864,0.17059481195195283,-0.2152,0.2331281773219032
11152,-0.6603,0.6400348072373169,-0.0206,0.28831527446422633,-0.3524,0.4268574739040041
11153,-0.3956,0.47593462641779694,-0.2557,0.40263872390400407,-0.4021,0.46323109448671856
11154,-0.1794,0.44294037608658754,-0.3473,0.5521293935671802,-0.2777,0.45434568813436293
11155,0.1457,-0.08440463489569713,0.4661,-0.2747343869720647,0.3671,-0.26766420297212884
11156,0.1979,-0.022688119152571424,0.083,0.04455766894996212,0.2223,-0.05425807097903757
11157,0.2487,0.12271147877721514,0.1073,0.20222920870685765,0.2187,0.1060885112402739
11158,0.2522,0.2407760112402739,0.2702,0.24904328415475588,0.3158,0.17006194284899898
11159,-0.0043,0.26931330571535356,0.1031,0.21348599010430286,0.0387,0.22251788260514352
11160,-0.0573,0.3038205538646688,-0.3171,0.46181810581380633,-0.187,0.3261435010865875
11162,-0.1568,0.12147036910295382,-0.0803,0.0808768230633358,-0.0995,0.061344555715353535
11163,-0.4404,0.37015337641779694,-0.2788,0.27387787608658754,-0.4208,0.3086058155950514
11164,0.2422,0.083515625,-0.1015,0.28770684698000587,0.1236,0.11540780821894935
11165,-0.1271,0.17781647873743875,-0.0156,0.10720393071535356,-0.0543,0.11690902446422632
11166,0.136,0.12080766894996212,-0.147,0.2756333944060158,0.0362,0.13856411510430286
11167,-0.3955,0.28999712641779696,-0.1874,0.17139867886466875,-0.3977,0.26479332780981146
11168,-0.0802,0.09940378570450023,-0.0677,0.08919122198000587,-0.0586,0.05933089946422634
11169,-0.0611,7.371494642263287e-4,0.2277,-0.165741925114452,0.1121,-0.12525359084524412
11170,-0.3063,0.21481537608658755,0.0359,0.024791696492097563,-0.1289,0.09925277446422631
11171,-0.171,0.1586839405950514,-0.1076,0.10163305386466875,-0.196,0.12395600108658755
11172,-0.0041,0.3455085458779987,0.2101,0.22236093321894934,0.0977,0.2556106319836336
11173,0.1809,0.22735209333690728,0.0854,0.2715022576051435,0.1176,0.2359847778576768
11174,0.3819,0.18573356161239968,0.2141,0.2777515582189493,0.3465,0.17853304981167778
11175,-0.1561,0.40502878570450024,0.2493,0.17515419742485958,0.044,0.2729379028576768
11176,0.0558,0.43886983370685767,0.3131,0.2948825540209624,0.1923,0.3264525058474286
11177,0.2718,0.2506057841547559,0.068,0.3478356079621043,0.2527,0.23415780821894935
